"bnavn1";"tliten";"tstor, vegnummer";"lat";"lon";"harAp";"apBeskr";"kommunenr";"bomstasjonId";"aadtTotal";"aadtLGV";"aadtYear";"aadtId"
"LUNDGÅRD";"18.0";"36.0";"Fv315";"61.15496";"10.35709";"Ja";"AutoPASS + automatisk";"0501";"233027477";"227";"10";"2013";"90354026"
"Gressbanen";"15.0";"30.0";"Fv325";"59.28306";"10.41478";"Ja";"AutoPASS + automatisk";"0704";"157083314";"10000";"10";"2013";"240038367"
"Årsvoll";"20.0";"50.0";"Fv327";"58.85522";"5.64587";"Ja";"Har autopass";"1124";"79799612";"2500";"10";"2013";"79293223"
"Svanholmen";"20.0";"50.0";"Fv350";"58.89284";"5.70651";"Ja";"Har autopass";"1103";"285843745";"150";"40";"2013";"489536127"
"Grannes";"20.0";"50.0";"Fv382";"58.92874";"5.68742";"Ja";"Har autopass";"1124";"79639103";"5000";"10";"2013";"79293802"
"Kvernevikveien";"20.0";"50.0";"Fv409";"58.97499";"5.61333";"Ja";"Har autopass";"1103";"79632559";"8300";"6";"2013";"79295399"
"Finnestadgeilen";"20.0";"50.0";"Fv413";"58.99604";"5.65678";"Ja";"Har autopass";"1103";"79776979";"3700";"10";"2013";"79293219"
"Forusbeen";"20.0";"50.0";"Fv443";"58.89256";"5.69603";"Ja";"Har autopass";"1102";"285845842";"9200";"10";"2013";"323126472"
"Bærheim";"20.0";"50.0";"Fv443";"58.88379";"5.69328";"Ja";"Har autopass";"1102";"79789863";"9300";"10";"2013";"323585449"
"Nybakk 2";"22.0";"44.0";"Fv450";"60.12233";"11.30009";"Ja";"AutoPASS + automatisk";"0235";"154764977";"350";"7";"2013";"240123670"
"Vestre byområde";"18.0";"36.0";"Fv459";"64.46955";"11.48453";"Ja";"AutoPASS + automatisk";"1703";"265182532";"6000";"10";"2013";"86641183"
"Slagendalen";"15.0";"30.0";"Fv460";"59.28349";"10.43343";"Ja";"AutoPASS + automatisk";"0704";"157083319";"1600";"8";"2013";"370397857"
"Gjervollstad";"25.0";"50.0";"Fv465";"58.21483";"6.79515";"Ja";"AutoPASS + automatisk";"1003";"452038668";"810";"7";"2013";"488277255"
"";"20.0";"50.0";"Fv505";"58.79824";"5.72638";"Ja";"Har autopass";"1120";"403587142";"5900";"9";"2013";"323910634"
"Soma";"20.0";"50.0";"Fv509";"58.86703";"5.69222";"Ja";"Har autopass";"1102";"79813778";"9800";"6";"2013";"276448923"
"Sele";"20.0";"50.0";"Fv510";"58.81418";"5.58848";"Ja";"Har autopass";"1120";"79813801";"5900";"8";"2013";"79293294"
"Nesbuveien";"20.0";"50.0";"Fv510";"58.91458";"5.68552";"Ja";"Har autopass";"1103";"79813792";"5200";"4";"2013";"79293280"
"Fv519 Finnfast Bomstasjon";"150.0";"590.0";"Fv519";"59.11861";"5.76041";"Ja";"Har autopass";"1142";"275731905";"1000";"11";"2013";"240429579"
"Fyllingsdalen";"25.0";"50.0";"Fv540";"60.36398";"5.29756";"Ja";"AutoPASS + automatisk";"1201";"82559834";"15700";"7";"2013";"81877031"
